name,date
SAMN12715335,2017-11-15
SAMN12715316,2017-11-15
SAMN12715332,2017-11-15
SAMN16452400,2020-10
SAMN16452443,2020-10
SAMN16452372,2020-10
SAMN16452380,2020-10
SAMN16452421,2020-10
SAMN16452384,2020-10
SAMN12747605,2019-09
SAMN12752399,2019-09
SAMN12773248,1998-06-15
SAMN12773246,1997-07-29
SAMN12773244,1997-07-29
SAMN12773233,1997-06-03
SAMN12773227,1997-05-27
SAMN12773226,1997-05-27
SAMN12773225,1997-05-27
SAMN12773224,1997-05-27
SAMN12773223,1997-12-23
SAMN12773221,1997-12-23
SAMN12773220,1997-12-23
SAMN12773215,1997-05-09
SAMN12773213,1997-04-28
SAMN12773212,1997-04-28
SAMN12773156,1996-05-21
SAMN12773203,1997-03-24
SAMN12773200,1998-06-15
SAMN12773198,1996-09-12
SAMN12773195,1996-07-24
SAMN12773193,1996-07-24
SAMN12773189,1995-12-04
SAMN12773187,1996-10-16
SAMN12773186,1996-09-25
SAMN12773183,1996-09-12
SAMN12773180,1996-08-29
SAMN12773153,1995-12-04
SAMN12773178,1996-08-29
SAMN12773177,1996-08-29
SAMN12773175,1996-08-29
SAMN12773172,1996-08-08
SAMN12773169,1996-08-08
SAMN12773168,1996-08-08
SAMN12773167,1996-07-24
SAMN12773165,1996-06-17
SAMN12773161,1996-06-17
SAMN12773250,1998-06-15
SAMN16517392,2018-04
SAMN16517397,2020-10
SAMN16517411,2019-05
SAMN16564836,2014-07-21
SAMN16564792,2014-07-21
SAMN16564835,2014-07-21
SAMN16564794,2015-06-16
SAMN16564813,2014-07-21
SAMN16564817,2014-07-21
SAMN16564820,2014-07-21
SAMN16564811,2014-07-21
SAMN16564821,2014-07-21
SAMN16564807,2014-07-21
SAMN16583896,2020-10
SAMN16597176,2020-10
SAMN16596993,2020-10
SAMN12822671,2018-07-31
SAMN12822687,2018-07-31
SAMN16614937,2020-10
SAMN16614938,2020-10
SAMN12860604,2018-08-01
SAMN12860636,2018-08-01
SAMN12860775,2018-08-01
SAMN12860870,2018-08-01
SAMN12860897,2018-07-31
SAMN12860960,2018-08-01
SAMN12861435,2018-08-01
SAMN12861448,2018-07-31
SAMN12881696,2019-09
SAMN12881788,2019-09
SAMN12909607,2019-09
SAMN12909606,2019-09
SAMN12909670,2019-09
SAMN12909687,2019-09
SAMN12909681,2019-09
SAMN12913184,2019-09
SAMN12913193,2019-09
SAMN12913189,2019-09
SAMN12913201,2019-09
SAMN16705175,2020-10
SAMN16705176,2020-10
SAMN12920328,2019-09
SAMN16784852,2020-11
SAMN16796813,2020-11
SAMN12995115,2019-09
SAMN12995094,2019-09
SAMN12995092,2019-09
SAMN12995089,2019-09
SAMN12995088,2019-09
SAMN12995108,2019-09
SAMN12995120,2019-10
SAMN16805202,2020-11
SAMN03785368,2015-06
SAMN13020114,2019-09
SAMN13021876,2019-10
SAMN16865204,2020-11
SAMN13022778,2019-10
SAMN13022775,2019-10
SAMN16882008,2020-10-29
SAMN13026781,2019-09-28
SAMN13041647,2019-10
SAMN13041645,2019-10
SAMN13064161,2019-10
SAMN13064173,2019-10
SAMN13072804,2018-07-31
SAMN13116685,2019-10
SAMN13116853,2019-10
SAMN13116866,2019-10
SAMN13134324,2019-10
SAMN13134340,2019-10
SAMN17006833,2020-11
SAMN17006838,2020-11
SAMN17034124,2020-11-12
SAMN13160641,2019-10
SAMN13172482,2019-10
SAMN13192471,2017-11-07
SAMN13208442,2019-10
SAMN13208472,2019-10
SAMN13208479,2019-10
SAMN17071965,2020-12
SAMN13234402,2019-10
SAMN13234405,2019-10
SAMN17120276,2020-12
SAMN13254959,2019-11
SAMN13286440,2019-11
SAMN17149098,2020-12
SAMN13315655,2019-11
SAMN13315652,2019-11
SAMN17164373,2020-12
SAMN17208795,2020-12-11
SAMN17265086,2020-12
SAMN13380426,2019-11
SAMN13380429,2019-11
SAMN13387986,2019-11-14
SAMN13387985,2019-11-14
SAMN13387977,2019-11-14
SAMN13387983,2019-11-14
SAMN13387975,2019-11-14
SAMN13424473,2019-11
SAMN13424482,2019-11
SAMN13424474,2019-11
SAMN13501133,2019-11
SAMN13501131,2019-11
SAMN13501151,2019-11
SAMN13501149,2019-11
SAMN17587715,2021-01
SAMN13564850,2019-12
SAMN13567110,2019-12
SAMN13616306,2019-12-02
SAMN13670655,2019-12
SAMN13670653,2019-12
SAMN13701628,2019-12
SAMN13701645,2019-12
SAMN13703496,2017-11-15
SAMN13703486,2017-11-07
SAMN13719083,2017-11-15
SAMN13737234,2019-12
SAMN13737232,2019-12
SAMN13737233,2019-12
SAMN18021386,2021-02
SAMN13828743,2020-01
SAMN03785366,2015-06
SAMN13884552,2020-01
SAMN13870012,2013-08-20
SAMN13870006,2013-06-11
SAMN13910636,2020-01
SAMN18352170,2021-03
SAMN18352171,2021-03
SAMN18408495,2020-04-29
SAMN18409961,2020-04-29
SAMN18417931,2020-04-29
SAMN18588097,2021-03
SAMN18588096,2021-03
SAMN14258910,2020-02
SAMN14258952,2020-02
SAMN14258930,2020-02
SAMN14343790,2013-08-21
SAMN18686039,2021-03
SAMN18699346,2021-03
SAMN14382738,2020-02-27
SAMN14392453,2013-09-12
SAMN14392447,2013-09-16
SAMN14392460,2013-09-16
SAMN14392434,2013-09-16
SAMN14392455,2013-09-16
SAMN14392454,2013-09-16
SAMN14392471,2014-03-01
SAMN14392499,2013-08-21
SAMN14392510,2013-09-16
SAMN14392500,2013-08-21
SAMN14392496,2013-09-12
SAMN14392516,2014-03-01
SAMN14415542,2014-03-01
SAMN14415737,2014-03-01
SAMN14415743,2014-03-01
SAMN14415547,2014-03-01
SAMN14417607,2019-08
SAMN14417738,2019-11
SAMN14417793,2020-03
SAMN14417853,2019-10
SAMN14417914,2020-03
SAMN14420698,2020-03
SAMN14420721,2019-11
SAMN14424297,2014-03-01
SAMN18880480,2021-04
SAMN18955854,2021-04
SAMN18955850,2021-04
SAMN18955849,2021-04
SAMN17295278,2009-10
SAMN17295281,2009-11
SAMN03470766,2009-09
SAMN17295282,1999-03
SAMN19011017,2017-02-13
SAMN19011060,2019-08-16
SAMN19011059,2019-08-16
SAMN19011056,2019-04-29
SAMN19011053,2018-09-14
SAMN19011050,2018-09-14
SAMN19011044,2018-05-10
SAMN19011043,2018-05-10
SAMN19011040,2017-09-01
SAMN19011038,2017-09-01
SAMN19011033,2017-04-17
SAMN19011031,2017-03-20
SAMN19011024,2017-03-20
SAMN19024852,2021-04
SAMN19076324,2021-03
SAMN19101712,2021-04
SAMN19117275,2020-04-29
SAMN19117348,2020-04-29
SAMN19117394,2020-04-29
SAMN19117412,2020-04-29
SAMN19117531,2020-04-29
SAMN19132171,2020-04-29
SAMN19129815,2020-02-15
SAMN19129856,2018-05-24
SAMN19129811,2020-02-08
SAMN19129855,2018-05-21
SAMN19129820,2020-04-10
SAMN19222230,2021-05
SAMN19227897,2021-05
SAMN14544792,2020-03
SAMN19241264,2020-04-29
SAMN19313959,2021-05
SAMN19313960,2021-05
SAMN14602559,2020-04
SAMN14602595,2020-04
SAMN19313978,2021-05
SAMN19353787,2021-05
SAMN19406458,2021-05
SAMN19406447,2021-04
SAMN19406457,2021-05
SAMN19469063,2021-05
SAMN19680859,2021-06
SAMN19680869,2021-06
SAMN19680866,2021-06
SAMN19764011,2021-06
SAMN14850259,2012-04
SAMN14850265,2012-04
SAMN14850277,2012-03
SAMN14850271,2011-10
SAMN14850269,2012-04
SAMN14850273,2011-10
SAMN19876372,2021-06
SAMN19876368,2021-06
SAMN19876277,2021-06
SAMN19904582,2021-06
SAMN14913517,2013-04
SAMN14913507,2012-09
SAMN14913512,2012-11
SAMN14913513,2012-08
SAMN14913533,2012-06
SAMN14913520,2012-08
SAMN14939553,2013-08
SAMN14939622,2013-07
SAMN14939617,2013-09
SAMN14939618,2013-08
SAMN14939627,2013-09
SAMN20054814,2021-06
SAMN20054818,2021-06
SAMN14978747,2009-11-06
SAMN14978743,2009-08-18
SAMN20062877,2021-06
SAMN20062892,2021-06
SAMN20062893,2021-06
SAMN20084508,2021-06
SAMN14992944,2014-05
SAMN14992963,2014-01
SAMN14992971,2014-03
SAMN14992975,2013-10
