sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN33902397,SRR23956164,2023,2023-01-01,2023-12-31,USA,PNUSAE130649,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33902395,SRR23956165,2023,2023-01-01,2023-12-31,USA,PNUSAE130648,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33902456,SRR23956169,missing,,,USA,PNUSAE130665,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33619981,SRR23719632,2023,2023-01-01,2023-12-31,missing,PNUSAE129307,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33613591,SRR23720800,2023,2023-01-01,2023-12-31,missing,PNUSAE129296,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33613600,SRR23721089,2023,2023-01-01,2023-12-31,missing,PNUSAE129288,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33613592,SRR23721142,2023,2023-01-01,2023-12-31,missing,PNUSAE129297,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33612922,SRR23721613,2023,2023-01-01,2023-12-31,USA,PNUSAE129247,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33610331,SRR23724249,missing,,,USA,PNUSAE129218,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33610330,SRR23725216,missing,,,USA,PNUSAE128815,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33939845,SRR23982131,missing,,,USA,PNUSAE130956,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33939982,SRR23982912,missing,,,USA,PNUSAE130916,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33940067,SRR23983036,2023,2023-01-01,2023-12-31,USA,PNUSAE130980,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33940065,SRR23983059,2023,2023-01-01,2023-12-31,USA,PNUSAE130982,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33940322,SRR23983535,2023,2023-01-01,2023-12-31,missing,PNUSAE131023,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33941242,SRR23983931,missing,,,USA,PNUSAE131045,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33945474,SRR23987731,2023,2023-01-01,2023-12-31,missing,PNUSAE131047,missing,ILLUMINA,NextSeq 550,WGS
SAMN33954996,SRR23995242,missing,,,USA,PNUSAE124523,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33954995,SRR23995243,missing,,,USA,PNUSAE124516,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33970559,SRR24006543,2023,2023-01-01,2023-12-31,USA,PNUSAE131127,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33971362,SRR24008060,missing,,,USA,PNUSAE131132,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33972851,SRR24008443,missing,,,USA,PNUSAE131157,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33975228,SRR24010147,2023,2023-01-01,2023-12-31,missing,PNUSAE131184,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33975232,SRR24010152,2023,2023-01-01,2023-12-31,missing,PNUSAE131187,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33975227,SRR24010153,2023,2023-01-01,2023-12-31,missing,PNUSAE131185,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33975231,SRR24010166,2023,2023-01-01,2023-12-31,missing,PNUSAE131181,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33975233,SRR24010169,2023,2023-01-01,2023-12-31,missing,PNUSAE131188,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33986528,SRR24016851,missing,,,USA,PNUSAE131053,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33989255,SRR24019542,missing,,,USA,PNUSAE125965,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33991692,SRR24019947,missing,,,missing,PNUSAE131263,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33699679,SRR23770282,missing,,,USA,PNUSAE129408,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN35215921,SRR24658891,missing,,,USA,PNUSAE135670,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33712826,SRR23800676,2023,2023-01-01,2023-12-31,missing,PNUSAE129461,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33712822,SRR23800678,2023,2023-01-01,2023-12-31,missing,PNUSAE129463,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33714288,SRR23802164,missing,,,missing,PNUSAE129483,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33714449,SRR23802427,missing,,,USA,PNUSAE129492,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34054237,SRR24052480,missing,,,USA,PNUSAE131476,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33716207,SRR23813460,2023,2023-01-01,2023-12-31,USA,PNUSAE129500,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33735051,SRR23826646,missing,,,missing,PNUSAE129508,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34069769,SRR24065785,missing,,,USA,PNUSAE131626,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34074893,SRR24071940,2023,2023-01-01,2023-12-31,USA,PNUSAE130817,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34079189,SRR24076162,2023,2023-01-01,2023-12-31,missing,PNUSAE131712,missing,ILLUMINA,Illumina MiSeq,WGS
